ID	Gene Name	UniProt ID	Species	Drug IDs
31	DHCR7	Q9UBM7	Humans	DB00157
32	DHRS4	Q9BTZ2	Humans	DB00162
33	INSR	P06213	Humans	DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB09129; DB09564; DB12010; DB12267; DB14751
9054	embA	P9WNL9	Mycobacterium tuberculosis	DB00330
35	CTNS	O60931	Humans	DB00138
36	RAF1	P04049	Humans	DB00398; DB08862; DB08896; DB08912; DB12010
37	NDUFS8	O00217	Humans	DB00157
38	FARSA	Q9Y285	Humans	DB00120
39	TKT	P29401	Humans	DB09130
40	LIPT1	Q9Y234	Humans	DB00166
41	F5	P12259	Humans	DB00055; DB05777; DB11300; DB11571; DB11572; DB13149; DB13151
42	PDXK	O00764	Humans	DB00165
43	EDNRB	P24530	Humans	DB00559; DB06268; DB06403; DB08932
44	NSDHL	Q15738	Humans	DB00157
45	CHRM3	P20309	Humans	DB00185; DB00193; DB00202; DB00246; DB00280; DB00332; DB00334; DB00340; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00502; DB00517; DB00540; DB00572; DB00599; DB00622; DB00725; DB00747; DB00777; DB00785; DB00809; DB00835; DB00934; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB03128; DB04843; DB06153; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB11235; DB12278; DB13720; DB14185
46	PKLR	P30613	Humans	DB00119
47	SLC12A5	Q9H2X9	Humans	DB00761; DB00887
48	F2	P00734	Humans	DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01593; DB04898; DB05777; DB06404; DB06695; DB09109; DB09130; DB09228; DB09332; DB11166; DB13151; DB13152; DB14487; DB14533; DB14738
49	FCER1G	P30273	Humans	DB00895
50	ALAD	P13716	Humans	DB00855
51	HSD3B1	P14060	Humans	DB00157; DB01108; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
52	SLC7A4	O43246	Humans	DB00123; DB00129
9055	folK	P9WNC7	Mycobacterium tuberculosis	DB00233
55	GLRB	P48167	Humans	DB00145; DB00431
56	mdh	P61889	Escherichia coli (strain K12)	DB00336
57	NA	P06818	Influenza A virus (strain A/Bangkok/1/1979 H3N2)	DB00558; DB06614
58	MMP9	P14780	Humans	DB00143; DB01017; DB01197; DB01296; DB01593; DB14487; DB14533
59	HSD3B2	P26439	Humans	DB00157; DB01108
60	P4HA1	P13674	Humans	DB00126; DB00139; DB01275
61	CNR1	P21554	Humans	DB00470; DB00486; DB06155; DB09061
62	AGTR1	P30556	Humans	DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB08822; DB11842
64	PTGER1	P34995	Humans	DB00297; DB00429; DB00770; DB00905; DB00917; DB00929; DB01088
65	DLAT	P10515	Humans	DB00157
66	MS4A1	P11836	Humans	DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11988
67	NOS1	P29475	Humans	DB00155; DB00843; DB01221; DB03147; DB03247; DB09241
68	LDHB	P07195	Humans	DB00157; DB09118
69	ACAT1	P24752	Humans	DB00795; DB09061
70	PLA2G10	O15496	Humans	DB13893; DB13894
71	PPARA	Q07869	Humans	DB00132; DB00159; DB00197; DB00313; DB00328; DB00412; DB00573; DB00636; DB01039; DB01050; DB01132; DB01241; DB01393; DB01708; DB02266; DB02709; DB03017; DB03193; DB03756; DB03796; DB04224; DB09064; DB09213; DB09422; DB11133; DB11605; DB13873; DB13961
72	MCCC2	Q9HCC0	Humans	DB00121
73	AASS	Q9UDR5	Humans	DB00142; DB00157
74	NR0B1	P51843	Humans	DB00755; DB01234
75	GHR	P10912	Humans	DB00052; DB00082; DB09098
76	SEC14L4	Q9UDX3	Humans	DB00163; DB14001; DB14002
77	HPRT1	P00492	Humans	DB00993; DB01033; DB01632
78	RXRB	P28702	Humans	DB00210; DB00307; DB00412; DB00459; DB00523; DB00755; DB00799; DB01393; DB03756
79	CSAD	Q9Y600	Humans	DB00114; DB00151
80	TPH2	Q8IWU9	Humans	DB12095
81	NDUFA10	O95299	Humans	DB00157
82	CKB	P12277	Humans	DB00148
83	CD52	P31358	Humans	DB00087
84	HTR4	Q13639	Humans	DB00604; DB00904; DB01079; DB01233; DB06480
85	FTL	P02792	Humans	DB00893; DB09517; DB13995
87	PLOD1	Q02809	Humans	DB00126; DB00139
88	PKM	P14618	Humans	DB00119; DB09130
89	NDUFS5	O43920	Humans	DB00157
90	KCNH2	Q12809	Humans	DB00176; DB00199; DB00204; DB00252; DB00276; DB00280; DB00308; DB00342; DB00346; DB00455; DB00457; DB00458; DB00472; DB00477; DB00489; DB00537; DB00604; DB00637; DB00661; DB00675; DB00679; DB00908; DB01026; DB01035; DB01074; DB01100; DB01110; DB01118; DB01136; DB01142; DB01149; DB01162; DB01182; DB01195; DB01211; DB01218; DB01244; DB04855; DB06144; DB06217; DB11090; DB11186; DB11386; DB11633; DB11642
91	TOP1MT	Q969P6	Humans	DB00762; DB01030
92	CHRM1	P11229	Humans	DB00185; DB00193; DB00202; DB00209; DB00219; DB00245; DB00246; DB00280; DB00332; DB00334; DB00340; DB00342; DB00354; DB00363; DB00366; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00483; DB00496; DB00508; DB00517; DB00540; DB00543; DB00572; DB00622; DB00670; DB00725; DB00747; DB00771; DB00777; DB00782; DB00785; DB00804; DB00805; DB00809; DB00810; DB00835; DB00875; DB00907; DB00934; DB00940; DB00942; DB00979; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01148; DB01151; DB01175; DB01224; DB01231; DB01233; DB01238; DB01239; DB01403; DB01409; DB01591; DB01618; DB03128; DB04843; DB06153; DB06702; DB06787; DB08897; DB09076; DB09089; DB09167; DB11156; DB11181; DB11235; DB12278; DB14185
93	NDUFS6	O75380	Humans	DB00157
94	SLC5A6	Q9Y289	Humans	DB00121; DB00166
95	CNR2	P34972	Humans	DB00470; DB00486; DB06202; DB09061
96	MSMO1	Q15800	Humans	DB00157
97	SLC25A29	Q8N8R3	Humans	DB00583
98	PDHB	P11177	Humans	DB00119; DB00157
99	CYSLTR2	Q9NS75	Humans	DB00716
100	LDHAL6B	Q9BYZ2	Humans	DB00157
101	AMD1	P17707	Humans	DB00118; DB03754
102	AGXT2	Q9BYV1	Humans	DB00114; DB00119; DB00145
103	mrdA	P44469	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	DB00303; DB00671
105	SOAT1	P35610	Humans	DB00973
106	SLC22A5	O76082	Humans	DB00583
109	RENBP	P51606	Humans	DB00141
110	P2RY12	Q9H244	Humans	DB00208; DB00374; DB00758; DB01240; DB06209; DB06441; DB08816
112	HRH2	P25021	Humans	DB00272; DB00321; DB00408; DB00501; DB00585; DB00751; DB00768; DB00797; DB00863; DB00927; DB00940; DB00972; DB01069; DB01142; DB01238; DB05381; DB06216
113	POLB	P06746	Humans	DB00987; DB01592; DB14488; DB14489; DB14490; DB14491; DB14501
114	dld	P06149	Escherichia coli (strain K12)	DB00756; DB03147
115	APRT	P07741	Humans	DB00173; DB01632; DB04272
116	ebgA	P06864	Escherichia coli (strain K12)	DB00581
117	PTGIS	Q16647	Humans	DB00812; DB01240
118	SLC18A2	Q05940	Humans	DB00182; DB00206; DB00368; DB00502; DB00579; DB00865; DB00988; DB01089; DB01364; DB01576; DB01577; DB04821; DB04844; DB05381; DB06706; DB06714; DB12161
119	ABCA1	O95477	Humans	DB01016; DB01599
120	sulI	Q49184	Mycobacterium fortuitum	DB00891
121	TPH1	P17752	Humans	DB00360; DB12095
9056	embB	P9WNL7	Mycobacterium tuberculosis	DB00330
123	ESR1	P03372	Humans	DB00255; DB00286; DB00294; DB00304; DB00367; DB00396; DB00431; DB00481; DB00539; DB00603; DB00624; DB00648; DB00655; DB00675; DB00756; DB00783; DB00823; DB00841; DB00882; DB00890; DB00947; DB00957; DB00977; DB01065; DB01108; DB01183; DB01185; DB01196; DB01357; DB01406; DB01428; DB01593; DB01708; DB02709; DB04573; DB04574; DB04575; DB04824; DB04930; DB04938; DB06202; DB06249; DB06401; DB06710; DB09070; DB09086; DB09317; DB09318; DB09369; DB09371; DB09535; DB11064; DB11219; DB11619; DB13943; DB13944; DB13946; DB13952; DB13953; DB13954; DB13955; DB13956; DB14487; DB14533
125	IL3	P08700	Humans	DB01025; DB01593; DB14487; DB14533
126	AKR1C1	Q04828	Humans	DB00157; DB00936; DB00945
127	rpsI	P0A7X3	Escherichia coli (strain K12)	DB00256; DB00560; DB00595; DB00618; DB01017; DB01301
128	HIBADH	P31937	Humans	DB00157
129	GABRR1	P24046	Humans	DB00231; DB00431; DB00690; DB00801; DB00829; DB00842; DB00897; DB01215; DB01558; DB01559; DB01588; DB01589; DB01595
130	HBA1	P69905	Humans	DB00358; DB00893; DB01592; DB01593; DB06154; DB09112; DB09130; DB09140; DB09146; DB09517; DB13995; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14533; DB14975
131	HSD11B2	P80365	Humans	DB00157; DB01185; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
132	AR	P10275	Humans	DB00255; DB00367; DB00396; DB00421; DB00499; DB00621; DB00623; DB00624; DB00648; DB00655; DB00665; DB00675; DB00717; DB00957; DB00984; DB01026; DB01063; DB01128; DB01185; DB01395; DB01406; DB01420; DB01428; DB01608; DB01708; DB02266; DB04839; DB06412; DB06710; DB06713; DB06718; DB08604; DB08804; DB08867; DB08899; DB09086; DB09123; DB09371; DB09389; DB11064; DB11219; DB11619; DB11901; DB12941; DB13155; DB13943; DB13944; DB13946; DB14583
133	ALDH2	P05091	Humans	DB00157; DB00536; DB00822
134	LHCGR	P22888	Humans	DB00014; DB00032; DB00044; DB00050; DB00097; DB06719; DB09126
135	ALDH7A1	P49419	Humans	DB00157
136	SLC7A3	Q8WY07	Humans	DB00123; DB00129; DB13146
137	NDUFV2	P19404	Humans	DB00157
138	DBH	P09172	Humans	DB00126; DB00822; DB00988
140	SLC12A6	Q9UHW9	Humans	DB00761
141	SCN1A	P35498	Humans	DB00252; DB00909; DB01121; DB01438; DB01595; DB04930
142	penA	P0A3M5	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	DB01147; DB01150
143	TUBB	P07437	Humans	DB00361; DB00541; DB00570; DB01179; DB01394; DB09130; DB11641
144	RARG	P13631	Humans	DB00210; DB00459; DB00523; DB00755; DB00799; DB00982; DB12808
145	DRD5	P21918	Humans	DB00246; DB00248; DB00334; DB00408; DB00477; DB00589; DB00714; DB00800; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01403; DB01624; DB05271; DB14185
146	HRH4	Q9H3N8	Humans	DB00321; DB00363; DB00408; DB00477; DB00543; DB01142; DB01238; DB01620; DB05381; DB06148
147	FLT3	P36888	Humans	DB00398; DB01268; DB06595; DB08901; DB09079; DB12010; DB12141; DB12267; DB12500; DB12978
148	ME2	P23368	Humans	DB00157
149	LDHC	P07864	Humans	DB00157
151	NFS1	Q9Y697	Humans	DB00114; DB00151
152	ALDH5A1	P51649	Humans	DB00139; DB00157; DB00313; DB00534
154	KCNK1	O00180	Humans	DB00308; DB00908; DB01346
155	TLR7	Q9NYK1	Humans	DB00724; DB01611
156	SIGMAR1	Q99720	Humans	DB00321; DB00409; DB00502; DB00514; DB00652; DB00907; DB00956; DB01708; DB06174; DB11186
157	TPK1	Q9H3S4	Humans	DB00152
158	rpsJ	P0A7R5	Escherichia coli (strain K12)	DB00698
159	HLCS	P50747	Humans	DB00121
160	CYB5R3	P00387	Humans	DB00157; DB03147; DB09130
161	PHGDH	O43175	Humans	DB00157
162	OGDH	Q02218	Humans	DB00157; DB00313; DB09092
163	VEGFA	P15692	Humans	DB00112; DB01017; DB01120; DB01136; DB01270; DB03088; DB03754; DB05294; DB06779; DB08885; DB09301; DB10772; DB14864
164	SDS	P20132	Humans	DB00114
165	AVPR1A	P37288	Humans	DB00035; DB00067; DB00872; DB02638; DB06212; DB09059; DB14642
166	GCLC	P48506	Humans	DB00142; DB00151
167	LIG3	P49916	Humans	DB00290
168	SLC23A1	Q9UHI7	Humans	DB00126
169	NDUFA4	O00483	Humans	DB00157
171	CKMT1A	P12532	Humans	DB00148
172	ADRB1	P08588	Humans	DB00187; DB00195; DB00221; DB00243; DB00248; DB00264; DB00335; DB00368; DB00373; DB00397; DB00408; DB00489; DB00521; DB00555; DB00571; DB00598; DB00612; DB00668; DB00841; DB00852; DB00871; DB00938; DB00960; DB00983; DB01001; DB01064; DB01102; DB01118; DB01136; DB01151; DB01182; DB01193; DB01203; DB01210; DB01214; DB01238; DB01288; DB01291; DB01297; DB01359; DB01407; DB01580; DB04846; DB04855; DB04861; DB06216; DB06262; DB09068; DB09351; DB11124; DB11278; DB13781
173	NDUFC2	O95298	Humans	DB00157; DB01136
174	SLC16A6	O15403	Humans	DB00119
175	BDH1	Q02338	Humans	DB00157
176	SDHA	P31040	Humans	DB00139; DB04657; DB09270
177	SCN10A	Q9Y5Y9	Humans	DB00281; DB00296; DB00297; DB00473; DB00527; DB00645; DB00721; DB00807; DB00892; DB00907; DB00961; DB01002; DB01086; DB01161; DB01173; DB06218
178	SLC16A2	P36021	Humans	DB00119
179	CPT2	P23786	Humans	DB00583; DB01074
180	GLUD1	P00367	Humans	DB00142; DB00157; DB00756; DB11081
181	PNPO	Q9NVS9	Humans	DB00114; DB03247
182	PDE5A	O76074	Humans	DB00203; DB00277; DB00806; DB00820; DB00862; DB00975; DB04272; DB06237; DB06267; DB12010
183	CD22	P20273	Humans	DB05889; DB12688
184	HSD17B7	P56937	Humans	DB00157
185	GSS	P48637	Humans	DB00143; DB00145; DB00151; DB06151; DB09130
8747	rpoC	P9WGY7	Mycobacterium tuberculosis	DB01201
187	ASPA	P45381	Humans	DB00128; DB01593; DB14487; DB14533
188	EPRS	P07814	Humans	DB00142
189	SCARB1	Q8WTV0	Humans	DB00144
190	SCNN1A	P37088	Humans	DB00384; DB00594
191	NDUFS3	O75489	Humans	DB00157
192	SCN11A	Q9UI33	Humans	DB00907; DB00909
193	ALDH3B2	P48448	Humans	DB00157; DB09116
194	HSD17B1	P14061	Humans	DB00157; DB01708
195	SLC16A4	O15374	Humans	DB00119
196	MT-ND3	P03897	Humans	DB00157
197	SCN5A	Q14524	Humans	DB00192; DB00252; DB00280; DB00281; DB00379; DB00473; DB00527; DB00532; DB00680; DB00740; DB00750; DB00754; DB00868; DB00907; DB00908; DB00909; DB01035; DB01056; DB01182; DB01195; DB01228; DB01320; DB01346; DB01426; DB04855; DB06217; DB11633
198	KARS	Q15046	Humans	DB00123
199	LIG1	P18858	Humans	DB00290
201	SLC25A15	Q9Y619	Humans	DB00129
203	GNRHR	P30968	Humans	DB00007; DB00014; DB00050; DB00106; DB00644; DB00666; DB01406; DB06699; DB06719; DB06785; DB06788; DB06825; DB11619; DB11979
205	PDGFRB	P09619	Humans	DB00102; DB00398; DB00619; DB01254; DB01268; DB06589; DB06595; DB08896; DB09079; DB10770; DB12010; DB12147; DB12978
206	RARB	P10826	Humans	DB00210; DB00459; DB00523; DB00755; DB00799; DB12808
207	ABCC8	Q09428	Humans	DB00222; DB00672; DB00731; DB00912; DB01067; DB01120; DB01124; DB01251; DB01382
208	GPD1	P21695	Humans	DB00157; DB00331
209	SERPINA6	P08185	Humans	DB01593; DB09130; DB14487; DB14533
210	KCNK2	O95069	Humans	DB00204; DB04855
211	PLG	P00747	Humans	DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513; DB06692; DB09130
212	SLC7A1	P30825	Humans	DB00123; DB00129
213	NDUFA6	P56556	Humans	DB00157
215	PPARG	P37231	Humans	DB00132; DB00159; DB00197; DB00244; DB00313; DB00328; DB00412; DB00573; DB00731; DB00795; DB00912; DB00966; DB01014; DB01050; DB01067; DB01118; DB01132; DB01393; DB02266; DB02709; DB03756; DB04224; DB08604; DB09061; DB09213; DB11133; DB11672; DB13873; DB13961
216	F10	P00742	Humans	DB00025; DB00036; DB00100; DB00170; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075; DB09109; DB09141; DB09258; DB09332; DB11166; DB12364; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738
217	GABBR1	Q9UBS5	Humans	DB00181; DB01080; DB01956; DB02530
218	ATP2C1	P98194	Humans	DB00228; DB00753; DB01028; DB01159; DB01189; DB01236; DB01373
219	ASNS	P08243	Humans	DB00128; DB00142; DB00174
220	NQO2	P16083	Humans	DB00157; DB00170; DB01065; DB01087; DB02709; DB03147
221	ACE	P12821	Humans	DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB01180; DB01197; DB01340; DB01348; DB09477; DB13166
223	VARS	P26640	Humans	DB00161
224	NDUFA1	O15239	Humans	DB00157
225	PYCR1	P32322	Humans	DB00157
227	ADH1A	P07327	Humans	DB00157; DB01213
228	WARS	P23381	Humans	DB00150
229	FXYD2	P54710	Humans	DB00606; DB11590
230	YARS	P54577	Humans	DB00135; DB02709
231	ALDH6A1	Q02252	Humans	DB00157
232	MTTP	P55157	Humans	DB08827
233	ERG11	P10613	Yeast	DB00196; DB00239; DB00251; DB00257; DB00582; DB01007; DB01110; DB01127; DB01153; DB01263; DB04794; DB08933
234	TARS	P26639	Humans	DB00156
235	SLC25A12	O75746	Humans	DB00128
236	SLC1A5	Q15758	Humans	DB00174; DB13146
238	TCN1	P20061	Humans	DB00200
239	LPL	P06858	Humans	DB06439; DB09568; DB13751
240	SERPINE1	P05121	Humans	DB00009; DB00013; DB00015; DB00029; DB00031; DB00055; DB00197; DB09130
241	ADORA2B	P29275	Humans	DB00201; DB00277; DB00640; DB00824; DB04932
242	FDX1	P10109	Humans	DB00648
243	NDUFB5	O43674	Humans	DB00157
244	ALDH4A1	P30038	Humans	DB00157
245	NDUFB10	O96000	Humans	DB00157
246	BCL2	P10415	Humans	DB01050; DB01229; DB01248; DB01367; DB06756; DB08871; DB09213; DB09401; DB11581
247	CHRM5	P08912	Humans	DB00246; DB00340; DB00342; DB00363; DB00376; DB00408; DB00420; DB00458; DB00483; DB00496; DB00540; DB00572; DB00622; DB00725; DB00747; DB00777; DB00785; DB00835; DB00934; DB01036; DB01069; DB01142; DB01151; DB01224; DB01238; DB01239; DB01403; DB01409; DB01591; DB06702; DB08897; DB09076; DB09167; DB11181; DB11235; DB12278; DB14185
248	ALOX5	P09917	Humans	DB00163; DB00179; DB00233; DB00244; DB00471; DB00711; DB00744; DB00795; DB00939; DB01014; DB01017; DB02709; DB11994; DB12010; DB14001; DB14002
249	SLC6A1	P30531	Humans	DB00906
250	PNP	P00491	Humans	DB00242; DB00900
252	TYR	P14679	Humans	DB00157; DB00548; DB00600; DB09526; DB11217; DB11254
253	ABAT	P80404	Humans	DB00114; DB00119; DB00142; DB00780; DB01080
254	PRKAB1	Q9Y478	Humans	DB00131; DB00331
255	RBP3	P10745	Humans	DB00162
256	SEC14L2	O76054	Humans	DB00163; DB03796; DB14001; DB14002
257	rpoB	P0A8V2	Escherichia coli (strain K12)	DB00615; DB01045; DB01220; DB11753
258	SLC25A2	Q9BXI2	Humans	DB00129
259	B4GALT1	P15291	Humans	DB00141
260	HADHA	P40939	Humans	DB00157
261	NT5C2	P49902	Humans	DB00811
262	PTGS2	P35354	Humans	DB00159; DB00210; DB00233; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00480; DB00482; DB00500; DB00533; DB00554; DB00573; DB00580; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01041; DB01050; DB01283; DB01399; DB01401; DB01404; DB01419; DB01435; DB01600; DB01628; DB02266; DB02709; DB04743; DB06725; DB06736; DB06802; DB08439; DB08910; DB09061; DB09212; DB09213; DB09214; DB09216; DB11071; DB11079; DB11201; DB11323; DB11327; DB13167; DB13346; DB13501; DB13783; DB13961
263	NOS3	P29474	Humans	DB00155; DB00360; DB01110; DB09237
264	ACVR1	Q04771	Humans	DB12010
266	MME	P08473	Humans	DB09292
267	CA1	P00915	Humans	DB00232; DB00273; DB00310; DB00381; DB00423; DB00436; DB00562; DB00606; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB01021; DB01031; DB01119; DB01144; DB01194; DB01325; DB09460; DB09472
268	MTHFD2	P13995	Humans	DB00157
269	ADCY1	Q08828	Humans	DB00131; DB09121
270	REN	P00797	Humans	DB00350; DB00722; DB09026
271	FOLR2	P14207	Humans	DB00158
272	MT-ND4L	P03901	Humans	DB00157
273	CCBL1	Q16773	Humans	DB00114
274	CD3E	P07766	Humans	DB00075; DB06607
276	SLC12A7	Q9Y666	Humans	DB00761
277	SLC25A13	Q9UJS0	Humans	DB00128
278	PDXP	Q96GD0	Humans	DB00114
279	rpsL	P0A7S3	Escherichia coli (strain K12)	DB00452; DB00479; DB00560; DB00684; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB03615
280	SERPINC1	P01008	Humans	DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813; DB09130; DB09141; DB09258; DB11598
281	SLC12A2	P55011	Humans	DB00214; DB00761; DB00887; DB01325
282	PB1	P16502	Influenza A virus (strain A/Beijing/11/1956 H1N1)	DB00811
283	TUB2	P10875	Yeast	DB00400
284	NDUFB3	O43676	Humans	DB00157
285	SLC38A3	Q99624	Humans	DB00174
286	ARG1	P05089	Humans	DB00129; DB03904; DB06757
287	ALDH9A1	P49189	Humans	DB00157
289	ADRA2A	P08913	Humans	DB00246; DB00248; DB00320; DB00321; DB00363; DB00368; DB00370; DB00408; DB00413; DB00449; DB00457; DB00484; DB00502; DB00543; DB00555; DB00575; DB00589; DB00629; DB00633; DB00656; DB00668; DB00692; DB00696; DB00714; DB00726; DB00734; DB00751; DB00797; DB00800; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01136; DB01149; DB01186; DB01200; DB01224; DB01238; DB01267; DB01392; DB01403; DB01577; DB01608; DB01624; DB04846; DB04855; DB04948; DB06148; DB06153; DB06216; DB06262; DB06694; DB06711; DB08815; DB09242; DB11124; DB11278; DB11738; DB14185
290	SIGMAR1	Q5T1J1	Humans	DB00514; DB00704
291	HTR1A	P08908	Humans	DB00216; DB00246; DB00247; DB00248; DB00315; DB00321; DB00363; DB00408; DB00413; DB00422; DB00458; DB00477; DB00490; DB00502; DB00540; DB00543; DB00571; DB00589; DB00656; DB00669; DB00696; DB00714; DB00726; DB00734; DB00904; DB00952; DB00960; DB00988; DB01142; DB01149; DB01151; DB01175; DB01186; DB01200; DB01224; DB01238; DB01267; DB01359; DB01392; DB01616; DB01618; DB01621; DB04908; DB04946; DB04948; DB05271; DB06016; DB06148; DB06153; DB06216; DB06684; DB08815; DB09061; DB09068; DB09128; DB09167; DB14185
292	SHMT2	P34897	Humans	DB00114; DB00145
293	AVPR2	P30518	Humans	DB00035; DB00067; DB00872; DB02638; DB06212; DB09059; DB14642
295	NDUFB4	O95168	Humans	DB00157
296	PTGDR	Q13258	Humans	DB00716
297	LDHAL6A	Q6ZMR3	Humans	DB00157
298	gor	P06715	Escherichia coli (strain K12)	DB00336; DB03147
299	SORD	Q00796	Humans	DB00157
301	RBP1	P09455	Humans	DB00162; DB00459
302	blaZ	P00807	Staphylococcus aureus	DB09324
303	CACNB1	Q02641	Humans	DB00308; DB00381; DB00393; DB00653; DB00898; DB04855
304	MAT2A	P31153	Humans	DB00118
305	NDUFA9	Q16795	Humans	DB00157; DB03147
306	OTC	P00480	Humans	DB00129; DB00155
307	NDUFS7	O75251	Humans	DB00157
308		P04293	HHV-1	DB00299; DB00426; DB00529; DB00577; DB00787; DB01004; DB13896
309	ALOX15	P16050	Humans	DB02709
311	HTR3A	P46098	Humans	DB00246; DB00333; DB00334; DB00363; DB00377; DB00408; DB00543; DB00555; DB00604; DB00721; DB00726; DB00728; DB00757; DB00889; DB00898; DB00904; DB00969; DB00988; DB01043; DB01156; DB01161; DB01199; DB01221; DB01224; DB01233; DB01238; DB06204; DB09061; DB09068; DB11699; DB14185
