UniProt_ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Betweenness,Betweenness(Weight),Closeness,Closeness(Weight),Degree,Degree(Weight),Eigenvector,Eigenvector(Weight),Label
A0JNW5,4.99,1.71,6.01,6.69,3.55,3.76,3.28,5.74,7.1,9.9,2.39,5.33,4.58,4.78,3.48,12.09,5.81,5.6,0.82,2.39,0.14,0.13,0.73,0.27,0.41,0.35,0.05,0.07,0.13,0.14,0.73,0.45,0.24,0.39,0.18,0.04,0.43,0.26,0.32,0.36,0.35,0.31,0.23,0.5,0.5,0.31,-0.36,-0.2,-0.5,0.15,4.13,-0.22,-0.1,-0.24,-0.26,-0.17,-0.18,-0.16,-0.24,-0.27,-0.33,-0.13,-0.23,-0.2,-0.21,-0.17,-0.37,-0.24,-0.23,-0.06,-0.13,0,0,0.26,0.18,1,0.82,0,0,1
A0MZ66,4.44,1.43,4.44,14.74,0.95,2.69,1.74,4.6,11.09,9.51,2.06,4.6,6.02,6.5,4.44,8.4,5.55,6.02,0,0.79,0.17,0.19,0.64,0.23,0.36,0.33,0.06,0.02,0.19,0.17,0.64,0.41,0.28,0.42,0.14,0.04,0.55,0.19,0.26,0.3,0.47,0.25,0.17,0.44,0.56,0.7,-0.33,-0.46,-0.67,0.21,3.93,-0.2,-0.09,-0.2,-0.41,-0.06,-0.14,-0.1,-0.2,-0.35,-0.32,-0.12,-0.2,-0.24,-0.26,-0.2,-0.3,-0.23,-0.24,0,-0.06,6443.97,6502,0.3,0.2,4,1.87,0,0,1
A0PJY2,8.63,4.21,2.32,3.16,4.84,6.32,6.11,2.11,8.21,8.63,2.32,4.42,10.95,4.21,4,6.95,5.47,4.84,0,2.32,0.18,0.06,0.76,0.23,0.49,0.42,0.11,0.07,0.06,0.18,0.76,0.52,0.34,0.28,0.12,0.07,0.45,0.24,0.31,0.4,0.33,0.34,0.26,0.54,0.46,0.18,-0.41,-0.02,-0.03,0.2,4.1,-0.31,-0.19,-0.13,-0.16,-0.21,-0.25,-0.25,-0.12,-0.3,-0.31,-0.13,-0.2,-0.35,-0.19,-0.19,-0.27,-0.23,-0.21,0,-0.13,114.36,114,0.33,0.21,4,2.09,0,0,1
A0PK11,10.78,2.16,2.16,5.17,6.47,7.33,2.16,8.19,4.31,13.36,1.72,2.59,3.02,3.88,2.59,5.6,3.02,10.78,2.16,2.59,0.09,0.07,0.84,0.17,0.64,0.53,0.03,0.11,0.07,0.09,0.84,0.62,0.15,0.27,0.09,0.04,0.44,0.35,0.21,0.61,0.21,0.18,0.26,0.47,0.53,-0.71,-0.79,-0.33,-0.38,0.14,4.03,-0.35,-0.12,-0.12,-0.22,-0.26,-0.28,-0.12,-0.3,-0.2,-0.39,-0.1,-0.14,-0.15,-0.18,-0.14,-0.23,-0.15,-0.35,-0.12,-0.14,12.05,10,0.28,0.16,2,0.97,0,0,1
A1A4S6,5.85,1.4,4.71,9.03,5.34,4.96,2.67,4.58,7.76,9.03,2.29,4.45,6.36,4.33,5.6,8.02,5.34,5.22,0.89,2.16,0.16,0.14,0.7,0.21,0.45,0.36,0.06,0.08,0.14,0.16,0.7,0.46,0.27,0.36,0.13,0.04,0.47,0.25,0.29,0.37,0.37,0.27,0.2,0.46,0.54,0.29,-0.27,-0.27,-0.4,0.15,4.16,-0.24,-0.09,-0.21,-0.31,-0.23,-0.22,-0.14,-0.2,-0.29,-0.31,-0.13,-0.2,-0.25,-0.2,-0.23,-0.29,-0.23,-0.22,-0.06,-0.12,0,0,0.32,0.25,1,0.9,0,0,1
A1A4Y4,7.73,1.1,3.87,7.73,3.87,5.52,1.66,4.42,5.52,8.84,6.08,6.63,3.31,3.31,3.31,8.29,7.73,7.18,1.1,2.76,0.11,0.12,0.78,0.23,0.48,0.37,0.03,0.08,0.12,0.11,0.78,0.51,0.2,0.37,0.16,0.07,0.44,0.28,0.28,0.4,0.3,0.3,0.23,0.51,0.49,0.09,-0.54,-0.22,-0.48,0.02,4.14,-0.29,-0.07,-0.18,-0.29,-0.18,-0.23,-0.1,-0.2,-0.23,-0.31,-0.25,-0.26,-0.16,-0.16,-0.16,-0.3,-0.29,-0.27,-0.07,-0.14,120.83,47,0.35,0.21,9,4.52,0,0,1
A1A519,3.03,3.03,3.03,14.85,1.82,6.67,2.73,1.52,5.45,5.45,3.33,2.73,5.45,6.36,6.36,12.12,6.67,6.67,1.21,1.52,0.15,0.18,0.68,0.3,0.35,0.29,0.06,0.05,0.18,0.15,0.68,0.38,0.23,0.5,0.19,0.06,0.48,0.22,0.3,0.29,0.38,0.32,0.25,0.49,0.51,0.88,-0.41,-0.21,-0.6,0.05,4.02,-0.15,-0.15,-0.15,-0.41,-0.11,-0.26,-0.14,-0.09,-0.23,-0.23,-0.16,-0.14,-0.23,-0.25,-0.25,-0.37,-0.26,-0.26,-0.08,-0.09,0,0,0.28,0.16,1,0.43,0,0,1
A1A5B4,6.65,2.05,3.84,6.52,6.52,4.86,2.81,5.75,3.96,11.25,3.2,2.69,4.6,3.71,7.16,5.5,5.5,8.06,2.17,3.2,0.14,0.1,0.76,0.2,0.53,0.41,0.05,0.12,0.1,0.14,0.76,0.56,0.21,0.3,0.11,0.05,0.45,0.33,0.22,0.47,0.25,0.25,0.19,0.44,0.56,-0.31,-0.34,-0.36,-0.26,0.07,4.19,-0.26,-0.12,-0.18,-0.26,-0.26,-0.21,-0.15,-0.24,-0.19,-0.36,-0.16,-0.14,-0.2,-0.18,-0.27,-0.23,-0.23,-0.29,-0.12,-0.16,11.65,19,0.27,0.17,2,1.11,0,0,1
A1E959,6.81,0,2.51,5.38,5.02,6.45,0.72,5.38,2.15,11.11,2.87,3.23,11.83,14.7,1.79,7.53,5.38,3.58,0.72,2.87,0.05,0.08,0.88,0.31,0.54,0.45,0.12,0.09,0.08,0.05,0.88,0.53,0.2,0.42,0.13,0.03,0.46,0.23,0.32,0.39,0.4,0.31,0.21,0.47,0.53,-0.25,-0.49,-0.17,-0.57,0.38,3.9,-0.26,0,-0.13,-0.23,-0.22,-0.26,-0.05,-0.23,-0.12,-0.35,-0.15,-0.16,-0.36,-0.41,-0.1,-0.28,-0.23,-0.17,-0.05,-0.15,71.1,85,0.33,0.2,10,4.71,0,0,1
A1KZ92,7.59,3.14,5.19,5.47,3.96,6.22,3.28,4.31,3.55,9.91,1.57,4.24,6.56,5.4,7.04,6.49,6.29,5.95,1.44,2.39,0.14,0.11,0.76,0.24,0.48,0.41,0.07,0.08,0.11,0.14,0.76,0.51,0.25,0.35,0.13,0.05,0.44,0.28,0.29,0.43,0.3,0.27,0.23,0.52,0.48,0.2,-0.41,-0.2,-0.34,0.13,4.19,-0.28,-0.16,-0.22,-0.23,-0.19,-0.25,-0.16,-0.2,-0.17,-0.33,-0.09,-0.19,-0.26,-0.23,-0.27,-0.26,-0.25,-0.24,-0.09,-0.13,7625.06,931,0.46,0.31,148,81.34,0.06,0.06,1
A1L020,11.54,3.08,3.27,6.73,3.08,12.31,1.35,4.23,3.27,6.35,1.15,2.31,10.19,3.46,6.73,6.73,5.58,6.15,0.38,2.12,0.11,0.1,0.79,0.21,0.55,0.51,0.1,0.06,0.1,0.11,0.79,0.52,0.24,0.38,0.12,0.04,0.41,0.25,0.35,0.47,0.29,0.27,0.34,0.61,0.39,0.33,-0.85,-0.07,-0.42,0.24,4.01,-0.36,-0.16,-0.16,-0.26,-0.16,-0.37,-0.08,-0.19,-0.16,-0.25,-0.07,-0.13,-0.34,-0.17,-0.26,-0.26,-0.23,-0.25,-0.03,-0.12,4.66,0,0.32,0.22,4,2.3,0,0,0
A1L0T0,11.55,1.74,4.43,4.43,3.8,9.18,2.37,3.16,3.32,12.5,1.9,2.69,5.85,4.75,6.17,4.59,4.11,10.76,1.27,1.42,0.12,0.09,0.79,0.17,0.6,0.53,0.06,0.07,0.09,0.12,0.79,0.57,0.2,0.32,0.09,0.04,0.47,0.26,0.27,0.54,0.26,0.2,0.27,0.55,0.45,-0.14,-0.79,-0.31,-0.35,0.24,4.03,-0.36,-0.1,-0.2,-0.2,-0.18,-0.32,-0.13,-0.16,-0.16,-0.38,-0.11,-0.14,-0.24,-0.21,-0.25,-0.2,-0.19,-0.35,-0.08,-0.09,1281.63,879,0.35,0.22,28,15.74,0,0,1
A1L167,5.59,1.24,6.21,6.83,6.21,5.59,1.24,3.11,8.07,9.94,3.11,3.11,4.97,3.11,5.59,8.7,4.97,8.07,2.48,1.86,0.15,0.13,0.72,0.2,0.49,0.37,0.05,0.11,0.13,0.15,0.72,0.5,0.23,0.35,0.14,0.04,0.44,0.28,0.29,0.42,0.32,0.25,0.21,0.48,0.52,0.06,-0.33,-0.28,-0.35,0.13,4.13,-0.23,-0.08,-0.25,-0.27,-0.25,-0.23,-0.08,-0.16,-0.29,-0.33,-0.16,-0.16,-0.22,-0.16,-0.23,-0.31,-0.22,-0.29,-0.13,-0.11,0,0,0.26,0.15,1,0.48,0,0,1
A1L190,5.68,1.14,9.09,14.77,1.14,0,1.14,1.14,7.95,12.5,10.23,6.82,2.27,3.41,5.68,3.41,4.55,4.55,2.27,2.27,0.15,0.24,0.61,0.15,0.4,0.26,0.02,0.06,0.24,0.15,0.61,0.46,0.24,0.35,0.08,0.11,0.61,0.17,0.22,0.28,0.44,0.24,0.1,0.38,0.63,0.41,0.05,-0.3,-0.48,-0.02,3.86,-0.24,-0.07,-0.31,-0.41,-0.07,0,-0.07,-0.07,-0.29,-0.38,-0.34,-0.26,-0.12,-0.17,-0.24,-0.17,-0.2,-0.2,-0.12,-0.12,1603.93,1195,0.32,0.2,7,3.5,0,0,1
A1L390,6.07,1.31,4.35,9.27,2.71,6.73,2.46,2.87,5,8.7,1.72,2.95,8.12,4.51,7.38,13.04,3.94,6.07,0.74,2.05,0.15,0.14,0.72,0.25,0.44,0.39,0.08,0.06,0.14,0.15,0.72,0.42,0.26,0.42,0.17,0.03,0.45,0.2,0.35,0.35,0.34,0.31,0.27,0.53,0.47,0.55,-0.42,-0.2,-0.47,0.25,4.05,-0.25,-0.08,-0.2,-0.32,-0.14,-0.26,-0.13,-0.15,-0.22,-0.31,-0.1,-0.15,-0.29,-0.2,-0.28,-0.38,-0.18,-0.25,-0.05,-0.12,581.19,142,0.35,0.19,24,9.94,0,0,1
A1L3X0,4.98,2.14,3.56,2.14,9.96,4.63,2.85,4.98,6.41,11.03,4.27,2.85,3.56,2.85,3.56,6.41,6.05,7.12,3.56,7.12,0.13,0.06,0.82,0.25,0.54,0.36,0.04,0.21,0.06,0.13,0.82,0.58,0.19,0.26,0.13,0.06,0.38,0.41,0.21,0.48,0.21,0.3,0.18,0.41,0.59,-0.78,-0.15,-0.21,-0.06,-0.07,4.17,-0.22,-0.12,-0.17,-0.12,-0.33,-0.21,-0.15,-0.22,-0.25,-0.35,-0.19,-0.15,-0.17,-0.15,-0.17,-0.25,-0.25,-0.27,-0.17,-0.27,26.95,45,0.27,0.17,3,1.53,0,0,1
A1L429,6.84,3.42,5.13,17.09,0.85,10.26,1.71,0.85,2.56,0,3.42,0.85,15.38,10.26,5.13,5.13,4.27,2.56,1.71,2.56,0.09,0.22,0.68,0.26,0.42,0.36,0.15,0.05,0.22,0.09,0.68,0.39,0.26,0.52,0.09,0.07,0.47,0.16,0.37,0.27,0.51,0.33,0.26,0.54,0.46,1.01,-0.34,0.19,-0.6,0.23,3.76,-0.27,-0.17,-0.22,-0.44,-0.06,-0.34,-0.1,-0.06,-0.14,0,-0.17,-0.06,-0.42,-0.34,-0.22,-0.22,-0.19,-0.14,-0.1,-0.14,11.04,0,0.34,0.23,12,7.36,0,0,0
A1L4K1,5.87,2.54,5.74,12.15,3.87,5.21,3.74,4.14,4.81,7.21,2.27,3.47,5.21,3.6,5.07,7.08,5.74,7.34,1.07,3.87,0.14,0.18,0.69,0.23,0.42,0.35,0.05,0.09,0.18,0.14,0.69,0.45,0.22,0.4,0.13,0.05,0.45,0.29,0.27,0.37,0.35,0.28,0.21,0.48,0.52,0.39,-0.33,-0.16,-0.52,0.06,4.18,-0.24,-0.13,-0.24,-0.37,-0.18,-0.22,-0.18,-0.19,-0.21,-0.27,-0.12,-0.17,-0.22,-0.17,-0.22,-0.27,-0.24,-0.28,-0.07,-0.18,0,0,0.25,0.14,1,0.45,0,0,1
A1X283,5.6,0.88,5.6,8.23,2.52,7.57,0.99,4.17,8.12,6.92,1.54,2.52,11.75,5.38,6.81,8.01,3.4,5.93,1.87,2.2,0.16,0.14,0.7,0.2,0.48,0.42,0.12,0.07,0.14,0.16,0.7,0.45,0.3,0.38,0.11,0.02,0.44,0.21,0.36,0.36,0.42,0.28,0.22,0.51,0.49,0.4,-0.32,-0.24,-0.37,0.3,4.06,-0.23,-0.06,-0.23,-0.3,-0.13,-0.28,-0.07,-0.19,-0.29,-0.27,-0.09,-0.13,-0.36,-0.23,-0.26,-0.29,-0.17,-0.24,-0.11,-0.12,411.85,1693,0.33,0.24,10,6.16,0,0,1
A1XBS5,9.34,1.04,6.92,10.03,3.46,2.08,1.73,4.15,6.92,9.69,2.42,5.19,1.73,6.23,8.65,5.19,7.27,5.19,0,2.77,0.17,0.17,0.66,0.23,0.38,0.32,0.02,0.06,0.17,0.17,0.66,0.44,0.24,0.38,0.13,0.04,0.55,0.24,0.21,0.35,0.37,0.21,0.18,0.44,0.56,0.59,-0.22,-0.51,-0.55,0.12,4.03,-0.32,-0.07,-0.27,-0.33,-0.17,-0.12,-0.1,-0.19,-0.27,-0.33,-0.13,-0.22,-0.1,-0.25,-0.31,-0.22,-0.28,-0.22,0,-0.14,0,0,0.27,0.16,1,0.42,0,0,1
A1Z1Q3,5.88,2.12,7.53,14.12,1.88,7.06,2.12,5.18,8.71,5.88,1.88,6.12,4.47,3.29,3.29,6.35,4.94,6.12,0.71,2.35,0.14,0.22,0.64,0.19,0.39,0.35,0.05,0.05,0.22,0.14,0.64,0.39,0.25,0.43,0.11,0.04,0.45,0.23,0.32,0.35,0.44,0.22,0.21,0.51,0.49,0.81,-0.41,-0.17,-0.71,0.06,4.07,-0.24,-0.12,-0.28,-0.4,-0.11,-0.27,-0.12,-0.22,-0.31,-0.24,-0.11,-0.25,-0.2,-0.16,-0.16,-0.25,-0.21,-0.25,-0.05,-0.13,85.59,93,0.33,0.19,9,4.13,0,0,1
A2A2Y4,4.69,2.68,4.36,10.05,5.36,4.19,3.35,6.03,7.54,11.22,1.68,2.35,6.37,3.52,4.86,8.21,4.02,4.86,0.84,3.85,0.16,0.14,0.7,0.22,0.45,0.37,0.06,0.1,0.14,0.16,0.7,0.48,0.25,0.34,0.12,0.04,0.47,0.28,0.26,0.4,0.34,0.28,0.2,0.42,0.58,0.04,-0.26,-0.25,-0.39,0.14,4.13,-0.21,-0.14,-0.2,-0.33,-0.23,-0.19,-0.16,-0.24,-0.28,-0.35,-0.1,-0.13,-0.25,-0.17,-0.21,-0.3,-0.19,-0.21,-0.06,-0.18,24.03,15,0.33,0.2,5,2.48,0,0,1
A2A3K4,7.56,2.65,4.24,7.43,3.45,5.7,3.85,4.77,6.37,9.95,2.52,3.98,5.97,5.17,5.31,7.29,4.51,6.1,1.19,1.99,0.16,0.12,0.73,0.22,0.47,0.4,0.06,0.07,0.12,0.16,0.73,0.49,0.26,0.34,0.12,0.05,0.48,0.25,0.27,0.41,0.33,0.26,0.23,0.48,0.52,0.22,-0.41,-0.25,-0.33,0.15,4.19,-0.28,-0.14,-0.19,-0.28,-0.17,-0.24,-0.18,-0.21,-0.25,-0.33,-0.13,-0.19,-0.24,-0.22,-0.23,-0.28,-0.2,-0.25,-0.08,-0.11,180.37,397,0.29,0.19,2,1.05,0,0,0
A2AJT9,2.95,0.98,6.33,7.59,3.66,5.06,4.64,4.5,9.7,3.8,1.27,4.64,6.47,5.2,10.13,9.28,4.5,3.8,0.84,4.64,0.25,0.14,0.62,0.25,0.32,0.27,0.07,0.09,0.14,0.25,0.62,0.33,0.36,0.38,0.14,0.02,0.45,0.23,0.32,0.26,0.4,0.31,0.18,0.44,0.56,0.9,0.13,-0.37,-0.2,0.1,4.12,-0.15,-0.07,-0.25,-0.28,-0.18,-0.22,-0.21,-0.2,-0.33,-0.18,-0.08,-0.21,-0.26,-0.22,-0.34,-0.32,-0.2,-0.18,-0.06,-0.21,24.6,0,0.32,0.2,5,2.72,0,0,0
A2IDD5,11.42,1.14,3.88,7.76,1.6,7.08,4.57,2.05,3.65,10.96,0.46,2.05,5.71,8.45,8.45,7.31,5.25,5.02,2.28,0.91,0.17,0.12,0.72,0.23,0.47,0.42,0.06,0.05,0.12,0.17,0.72,0.46,0.24,0.4,0.13,0.02,0.56,0.18,0.26,0.42,0.32,0.24,0.27,0.49,0.51,0.52,-0.45,-0.38,-0.32,0.3,4,-0.36,-0.07,-0.18,-0.29,-0.1,-0.27,-0.2,-0.12,-0.17,-0.35,-0.04,-0.12,-0.24,-0.3,-0.3,-0.28,-0.22,-0.22,-0.12,-0.06,1411.74,3015,0.28,0.17,6,2.98,0,0,1
A2PYH4,5.44,1.46,5.64,7.25,4.95,4.32,2.3,6.69,8.5,9.34,2.37,5.16,3.9,4.25,3.97,8.78,6.34,5.92,0.91,2.51,0.15,0.13,0.72,0.23,0.44,0.36,0.04,0.08,0.13,0.15,0.72,0.47,0.24,0.37,0.15,0.04,0.43,0.29,0.28,0.39,0.35,0.26,0.2,0.47,0.53,0.19,-0.36,-0.31,-0.48,0.11,4.15,-0.23,-0.09,-0.23,-0.27,-0.22,-0.2,-0.13,-0.26,-0.3,-0.32,-0.13,-0.22,-0.18,-0.19,-0.19,-0.31,-0.25,-0.24,-0.06,-0.13,5705.92,10606,0.34,0.23,22,12.36,0,0,1
A2RRP1,7.13,2.45,4.85,8.56,2.87,4.72,2.91,4.39,5.9,13.5,1.86,2.78,4.6,5.02,4.89,7.59,5.36,5.53,1.52,3.58,0.14,0.13,0.73,0.24,0.46,0.4,0.05,0.08,0.13,0.14,0.73,0.49,0.21,0.36,0.13,0.04,0.5,0.26,0.25,0.42,0.32,0.26,0.22,0.45,0.55,0.07,-0.41,-0.31,-0.45,0.16,4.14,-0.27,-0.13,-0.21,-0.3,-0.15,-0.21,-0.15,-0.2,-0.24,-0.39,-0.11,-0.14,-0.2,-0.22,-0.21,-0.28,-0.23,-0.23,-0.09,-0.17,1183.4,822,0.32,0.21,24,14.01,0,0,1
A2RTX5,6.73,2.24,4.99,10.1,5.24,5.24,2.62,6.23,6.98,9.1,2.49,4.36,3.99,4.49,5.86,5.74,4.49,4.36,1.75,2.99,0.16,0.15,0.7,0.2,0.45,0.36,0.04,0.1,0.15,0.16,0.7,0.47,0.24,0.35,0.1,0.05,0.48,0.27,0.24,0.41,0.35,0.22,0.2,0.42,0.58,0.21,-0.23,-0.29,-0.4,0.06,4.2,-0.26,-0.12,-0.22,-0.33,-0.22,-0.22,-0.14,-0.25,-0.27,-0.32,-0.13,-0.2,-0.19,-0.2,-0.24,-0.24,-0.2,-0.2,-0.1,-0.15,94.32,2,0.34,0.2,10,5.59,0,0,1
